r,t,f,y,UseByTechnologyAnnual
REGION1,DEMAGRSURMRD,WTRSURMRD,2023,0.7009
REGION1,DEMAGRSURMRD,WTRSURMRD,2024,0.7222
REGION1,DEMAGRSURMRD,WTRSURMRD,2025,0.7388
REGION1,DEMAGRSURMRD,WTRSURMRD,2026,0.7584
REGION1,DEMAGRSURMRD,WTRSURMRD,2027,0.7767
REGION1,DEMAGRSURMRD,WTRSURMRD,2028,0.7911
REGION1,DEMAGRSURMRD,WTRSURMRD,2029,0.8122
REGION1,DEMAGRSURMRD,WTRSURMRD,2030,0.824
REGION1,DEMAGRSURNOC,WTRSURNOC,2016,0.2254
REGION1,DEMAGRSURNOC,WTRSURNOC,2017,0.2439
REGION1,DEMAGRSURNOC,WTRSURNOC,2018,0.256
REGION1,DEMAGRSURNOC,WTRSURNOC,2019,0.2791
REGION1,DEMAGRSURNOC,WTRSURNOC,2020,0.3042
REGION1,DEMAGRSURNOC,WTRSURNOC,2021,0.3229
REGION1,DEMAGRSURNOC,WTRSURNOC,2022,0.3454
REGION1,DEMAGRSURNOC,WTRSURNOC,2023,0.3702
REGION1,DEMAGRSURNOC,WTRSURNOC,2024,0.3952
REGION1,DEMAGRSURNOC,WTRSURNOC,2025,0.4162
REGION1,DEMAGRSURNOC,WTRSURNOC,2026,0.437
REGION1,DEMAGRSURNOC,WTRSURNOC,2027,0.4545
REGION1,DEMAGRSURNOC,WTRSURNOC,2028,0.4682
REGION1,DEMAGRSURNOC,WTRSURNOC,2029,0.4786
REGION1,DEMAGRSURNOC,WTRSURNOC,2030,0.4871
REGION1,DEMAGRSURNOE,WTRSURNOE,2016,0.0205
REGION1,DEMAGRSURNOE,WTRSURNOE,2017,0.0226
REGION1,DEMAGRSURNOE,WTRSURNOE,2018,0.02
REGION1,DEMAGRSURNOE,WTRSURNOE,2019,0.0195
REGION1,DEMAGRSURNOE,WTRSURNOE,2020,0.0201
REGION1,DEMAGRSURNOE,WTRSURNOE,2021,0.0197
REGION1,DEMAGRSURNOE,WTRSURNOE,2022,0.0191
REGION1,DEMAGRSURNOE,WTRSURNOE,2023,0.0186
REGION1,DEMAGRSURNOE,WTRSURNOE,2024,0.0169
REGION1,DEMAGRSURNOE,WTRSURNOE,2025,0.016
REGION1,DEMAGRSURNOE,WTRSURNOE,2026,0.0143
REGION1,DEMAGRSURNOE,WTRSURNOE,2027,0.0129
REGION1,DEMAGRSURNOE,WTRSURNOE,2028,0.0117
REGION1,DEMAGRSURNOE,WTRSURNOE,2029,0.0105
REGION1,DEMAGRSURNOE,WTRSURNOE,2030,0.0095
REGION1,DEMAGRSURNOW,WTRSURNOW,2016,0.0634
REGION1,DEMAGRSURNOW,WTRSURNOW,2017,0.0731
REGION1,DEMAGRSURNOW,WTRSURNOW,2018,0.083
REGION1,DEMAGRSURNOW,WTRSURNOW,2019,0.0832
REGION1,DEMAGRSURNOW,WTRSURNOW,2020,0.0821
REGION1,DEMAGRSURNOW,WTRSURNOW,2021,0.0808
REGION1,DEMAGRSURNOW,WTRSURNOW,2022,0.0788
REGION1,DEMAGRSURNOW,WTRSURNOW,2023,0.0751
REGION1,DEMAGRSURNOW,WTRSURNOW,2024,0.0721
REGION1,DEMAGRSURNOW,WTRSURNOW,2025,0.0689
REGION1,DEMAGRSURNOW,WTRSURNOW,2026,0.0666
REGION1,DEMAGRSURNOW,WTRSURNOW,2027,0.0656
REGION1,DEMAGRSURNOW,WTRSURNOW,2028,0.0658
REGION1,DEMAGRSURNOW,WTRSURNOW,2029,0.0608
REGION1,DEMAGRSURNOW,WTRSURNOW,2030,0.0569
REGION1,DEMAGRSURRRD,WTRSURRRD,2016,0.025
REGION1,DEMAGRSURRRD,WTRSURRRD,2017,0.0235
REGION1,DEMAGRSURRRD,WTRSURRRD,2018,0.0222
REGION1,DEMAGRSURRRD,WTRSURRRD,2019,0.0209
REGION1,DEMAGRSURRRD,WTRSURRRD,2020,0.0197
REGION1,DEMAGRSURRRD,WTRSURRRD,2021,0.0185
REGION1,DEMAGRSURRRD,WTRSURRRD,2022,0.0173
REGION1,DEMAGRSURRRD,WTRSURRRD,2023,0.016
REGION1,DEMAGRSURRRD,WTRSURRRD,2024,0.0147
REGION1,DEMAGRSURRRD,WTRSURRRD,2025,0.0128
REGION1,DEMAGRSURRRD,WTRSURRRD,2026,0.0109
REGION1,DEMAGRSURRRD,WTRSURRRD,2027,0.0098
REGION1,DEMAGRSURRRD,WTRSURRRD,2028,0.0091
REGION1,DEMAGRSURRRD,WTRSURRRD,2029,0.0087
REGION1,DEMAGRSURRRD,WTRSURRRD,2030,0.0077
REGION1,DEMAGRSURSOC,WTRSURSOC,2016,0.6601
REGION1,DEMAGRSURSOC,WTRSURSOC,2017,0.7432
REGION1,DEMAGRSURSOC,WTRSURSOC,2018,0.795
REGION1,DEMAGRSURSOC,WTRSURSOC,2019,0.8412
REGION1,DEMAGRSURSOC,WTRSURSOC,2020,0.9336
REGION1,DEMAGRSURSOC,WTRSURSOC,2021,1.0152
REGION1,DEMAGRSURSOC,WTRSURSOC,2022,1.0935
REGION1,DEMAGRSURSOC,WTRSURSOC,2023,1.1809
REGION1,DEMAGRSURSOC,WTRSURSOC,2024,1.2629
REGION1,DEMAGRSURSOC,WTRSURSOC,2025,1.3527
REGION1,DEMAGRSURSOC,WTRSURSOC,2026,1.4335
REGION1,DEMAGRSURSOC,WTRSURSOC,2027,1.526
REGION1,DEMAGRSURSOC,WTRSURSOC,2028,1.6139
REGION1,DEMAGRSURSOC,WTRSURSOC,2029,1.6965
REGION1,DEMAGRSURSOC,WTRSURSOC,2030,1.7707
REGION1,DEMAGRSURSOE,WTRSURSOE,2016,0.6444
REGION1,DEMAGRSURSOE,WTRSURSOE,2017,0.6648
REGION1,DEMAGRSURSOE,WTRSURSOE,2018,0.7021
REGION1,DEMAGRSURSOE,WTRSURSOE,2019,0.7516
REGION1,DEMAGRSURSOE,WTRSURSOE,2020,0.8075
REGION1,DEMAGRSURSOE,WTRSURSOE,2021,0.8488
REGION1,DEMAGRSURSOE,WTRSURSOE,2022,0.8977
REGION1,DEMAGRSURSOE,WTRSURSOE,2023,0.9445
REGION1,DEMAGRSURSOE,WTRSURSOE,2024,1.0008
REGION1,DEMAGRSURSOE,WTRSURSOE,2025,1.0546
REGION1,DEMAGRSURSOE,WTRSURSOE,2026,1.1055
REGION1,DEMAGRSURSOE,WTRSURSOE,2027,1.1524
REGION1,DEMAGRSURSOE,WTRSURSOE,2028,1.1963
REGION1,DEMAGRSURSOE,WTRSURSOE,2029,1.2385
REGION1,DEMAGRSURSOE,WTRSURSOE,2030,1.2779
REGION1,DEMCOMBIO,BIO,2016,0.0164
REGION1,DEMCOMBIO,BIO,2017,0.0177
REGION1,DEMCOMBIO,BIO,2018,0.0188
REGION1,DEMCOMBIO,BIO,2019,0.0201
REGION1,DEMCOMBIO,BIO,2020,0.0221
REGION1,DEMCOMBIO,BIO,2021,0.024
REGION1,DEMCOMBIO,BIO,2022,0.0259
REGION1,DEMCOMBIO,BIO,2023,0.0279
REGION1,DEMCOMBIO,BIO,2024,0.0299
