cluster,Cassava Irrigation High,Cassava Irrigation Intermediate,Cassava Rain-fed High,Cassava Rain-fed Intermediate,Cassava Rain-fed Low,Coffee Irrigation High,Coffee Irrigation Intermediate,Coffee Rain-fed High,Coffee Rain-fed Intermediate,Coffee Rain-fed Low,Maize Irrigation High,Maize Irrigation Intermediate,Maize Rain-fed High,Maize Rain-fed Intermediate,Maize Rain-fed Low,Sugarcane Irrigation High,Sugarcane Irrigation Intermediate,Sugarcane Rain-fed High,Sugarcane Rain-fed Intermediate,Sugarcane Rain-fed Low,Other Irrigation High,Other Irrigation Intermediate,Other Rain-fed High,Other Rain-fed Intermediate,Other Rain-fed Low,Rice Irrigation High,Rice Irrigation Intermediate,Rice Rain-fed High,Rice Rain-fed Intermediate,Rice Rain-fed Low,Vegetables and fruits Irrigation High,Vegetables and fruits Irrigation Intermediate,Vegetables and fruits Rain-fed High,Vegetables and fruits Rain-fed Intermediate,Vegetables and fruits Rain-fed Low
1,0.04720560747663551,0.036042056074766356,0.0064392523364485985,0.0017102803738317759,0.001,0.0,0.0,0.0,0.0,0.0,0.0011495327102803738,0.00105607476635514,0.001,0.001,0.001,0.06005140186915888,0.045490654205607474,0.012883177570093458,0.0029906542056074765,0.0010093457943925232,0.0015700934579439252,0.0012242990654205608,0.001,0.001,0.001,0.00961214953271028,0.007014018691588786,0.001,0.001,0.001,0.032663551401869155,0.02811281708945259,0.008469959946595459,0.006034045393858476,0.00243124165554072
2,0.030117903930131005,0.02152838427947598,0.0019737991266375546,0.0009650655021834062,0.0008995633187772926,0.00011790393013100436,7.423580786026201e-05,4.3668122270742355e-06,4.3668122270742355e-06,4.3668122270742355e-06,0.002528384279475982,0.0020131004366812227,0.001,0.001,0.001,0.04629694323144105,0.03344541484716157,0.005170305676855895,0.0017292576419213974,0.001,0.001965065502183406,0.0013493449781659388,0.001,0.001,0.001,0.015458515283842796,0.012292576419213974,0.001,0.001,0.001,0.025618215845290084,0.020968184653774185,0.006208359326263259,0.004338116032439178,0.001789145352464129
3,0.020678571428571428,0.013095238095238096,0.0010952380952380953,0.001,0.001,0.019797619047619047,0.015178571428571428,0.0034642857142857145,0.0014880952380952382,0.0004880952380952381,0.0010833333333333333,0.0010476190476190477,0.001,0.001,0.001,0.033345238095238094,0.022273809523809526,0.0018452380952380953,0.0010833333333333333,0.001,0.0012857142857142859,0.0011428571428571427,0.001,0.001,0.001,0.03370238095238095,0.02836904761904762,0.001,0.001,0.001,0.01927721088435373,0.014120748299319728,0.0026768707482993253,0.0018520408163265327,0.0008996598639455771
