row number,col number,cluster_unique
17,37,NOEC03
17,38,NOEC03
17,39,NOEC02
17,40,NOEC02
17,41,NOEC02
17,42,NOEC02
17,43,NOEC02
17,44,NOEC02
17,45,NOEC02
17,46,NOEC02
17,47,NOEC02
17,48,NOEC01
17,49,NOEC01
17,50,NOEC01
17,51,NOEC01
17,52,NOEC01
17,53,NOEC01
17,54,NOEC01
17,55,NOEC01
17,56,NOEC01
17,57,NOEC01
18,36,NOEC03
18,37,NOEC03
18,38,NOEC03
18,39,NOEC02
18,40,NOEC02
18,41,NOEC02
18,42,NOEC02
18,43,NOEC02
18,44,NOEC02
18,45,NOEC02
18,46,NOEC02
18,47,NOEC02
18,48,NOEC01
18,49,NOEC01
18,50,NOEC01
18,51,NOEC01
18,52,NOEC01
18,53,NOEC01
18,54,NOEC01
18,55,NOEC01
18,56,NOEC01
18,57,NOEC01
18,58,NOEC02
19,36,NOEC03
19,37,NOEC03
19,38,NOEC03
19,39,NOEC02
19,40,NOEC02
19,41,NOEC02
19,42,NOEC02
19,43,NOEC02
19,44,NOEC02
19,45,NOEC02
19,46,NOEC02
19,47,NOEC02
19,48,NOEC01
19,49,NOEC01
19,50,NOEC01
19,51,NOEC01
19,52,NOEC01
19,53,NOEC01
19,54,NOEC01
19,55,NOEC01
19,56,NOEC01
19,57,NOEC01
19,58,NOEC01
19,59,NOEC01
20,38,NOEC03
20,39,NOEC02
20,40,NOEC02
20,41,NOEC02
20,42,NOEC02
20,43,NOEC02
20,44,NOEC02
20,45,NOEC02
20,46,NOEC02
20,47,NOEC02
20,48,NOEC01
20,49,NOEC01
20,50,NOEC01
20,51,NOEC01
20,52,NOEC01
20,53,NOEC01
20,54,NOEC01
20,55,NOEC01
20,56,NOEC01
20,57,NOEC01
20,58,NOEC01
20,59,NOEC01
20,60,NOEC02
20,61,NOEC02
20,62,NOEC02
21,38,NOEC03
21,39,NOEC02
21,40,NOEC02
21,41,NOEC02
21,42,NOEC02
21,43,NOEC02
21,44,NOEC02
21,45,NOEC02
21,46,NOEC02
21,47,NOEC02
21,48,NOEC01
21,49,NOEC01
21,50,NOEC01
21,51,NOEC01
21,52,NOEC01
21,53,NOEC01
21,54,NOEC01
21,55,NOEC01
21,56,NOEC02
21,57,NOEC01
21,58,NOEC01
21,59,NOEC02
21,60,NOEC02
21,61,NOEC02
21,62,NOEC02
21,63,NOEC02
22,38,NOEC03
22,39,NOEC02
22,40,NOEC02
22,41,NOEC02
22,42,NOEC02
22,43,NOEC02
22,44,NOEC02
22,45,NOEC02
22,46,NOEC02
22,47,NOEC01
22,48,NOEC01
22,49,NOEC01
22,50,NOEC01
22,51,NOEC01
22,52,NOEC01
22,53,NOEC01
22,54,NOEC01
22,55,NOEC01
22,56,NOEC01
22,57,NOEC01
22,58,NOEC01
22,59,NOEC01
22,60,NOEC02
22,61,NOEC02
22,62,NOEC02
23,41,NOEC02
23,45,NOEC02
23,46,NOEC01
23,47,NOEC01
23,48,NOEC01
23,49,NOEC01
23,50,NOEC01
23,51,NOEC01
23,52,NOEC01
23,53,NOEC01
23,54,NOEC01
23,55,NOEC01
23,56,NOEC01
23,57,NOEC01
23,58,NOEC01
23,59,NOEC01
23,60,NOEC01
23,61,NOEC01
23,62,NOEC01
24,45,NOEC02
24,47,NOEC01
24,48,NOEC01
24,49,NOEC01
24,50,NOEC01
24,51,NOEC01
24,52,NOEC01
24,53,NOEC01
24,54,NOEC01
24,55,NOEC01
24,56,NOEC01
24,57,NOEC01
24,58,NOEC01
24,59,NOEC01
24,60,NOEC01
24,61,NOEC01
24,62,NOEC01
25,49,NOEC01
25,50,NOEC01
25,51,NOEC01
25,52,NOEC01
25,53,NOEC01
25,54,NOEC01
25,55,NOEC01
25,56,NOEC01
25,57,NOEC01
25,58,NOEC01
25,59,NOEC01
25,60,NOEC01
26,49,NOEC01
26,50,NOEC01
26,51,NOEC01
26,52,NOEC01
26,53,NOEC01
26,54,NOEC01
26,55,NOEC01
26,56,NOEC01
26,57,NOEC01
26,58,NOEC01
26,59,NOEC01
27,50,NOEC01
27,51,NOEC01
27,52,NOEC01
27,56,NOEC01
27,57,NOEC01
27,58,NOEC01
7,15,NOWC02
7,24,NOWC02
7,25,NOWC01
8,4,NOWC02
8,5,NOWC02
8,6,NOWC02
8,14,NOWC02
8,15,NOWC02
8,18,NOWC02
8,19,NOWC01
8,23,NOWC02
8,24,NOWC02
8,25,NOWC02
8,26,NOWC02
9,4,NOWC02
9,5,NOWC02
9,6,NOWC02
9,7,NOWC02
9,8,NOWC02
9,13,NOWC02
9,14,NOWC02
9,15,NOWC02
9,16,NOWC02
9,17,NOWC02
9,18,NOWC02
9,19,NOWC01
9,20,NOWC01
9,23,NOWC01
9,24,NOWC02
9,25,NOWC02
9,26,NOWC01
9,27,NOWC01
10,3,NOWC02
10,4,NOWC02
10,5,NOWC02
10,6,NOWC02
10,7,NOWC02
10,8,NOWC02
10,9,NOWC02
10,13,NOWC02
10,14,NOWC02
10,15,NOWC02
10,16,NOWC02
10,17,NOWC02
10,18,NOWC02
10,19,NOWC02
10,20,NOWC02
10,21,NOWC01
10,23,NOWC01
10,24,NOWC02
10,25,NOWC01
10,26,NOWC02
10,27,NOWC02
11,2,NOWC02
11,3,NOWC02
11,4,NOWC02
11,5,NOWC02
11,6,NOWC02
11,7,NOWC02
11,8,NOWC02
11,9,NOWC02
11,10,NOWC02
11,12,NOWC02
11,13,NOWC02
11,14,NOWC02
11,15,NOWC02
11,16,NOWC02
11,17,NOWC02
11,18,NOWC02
11,19,NOWC02
11,20,NOWC02
11,21,NOWC02
11,22,NOWC01
11,23,NOWC01
11,24,NOWC01
11,25,NOWC01
11,26,NOWC02
11,27,NOWC02
11,28,NOWC02
12,1,NOWC02
12,2,NOWC02
12,3,NOWC02
12,4,NOWC02
12,5,NOWC02
12,6,NOWC02
12,7,NOWC02
12,8,NOWC02
12,9,NOWC02
12,10,NOWC02
12,11,NOWC02
12,12,NOWC02
12,13,NOWC02
12,14,NOWC02
12,15,NOWC02
12,16,NOWC02
12,17,NOWC02
12,18,NOWC02
12,19,NOWC02
12,20,NOWC02
12,21,NOWC02
12,22,NOWC02
12,23,NOWC01
12,24,NOWC01
12,25,NOWC01
12,26,NOWC01
12,27,NOWC01
12,28,NOWC01
13,2,NOWC02
13,3,NOWC02
13,4,NOWC02
13,5,NOWC02
13,6,NOWC02
13,7,NOWC02
13,8,NOWC02
13,9,NOWC02
13,10,NOWC02
13,11,NOWC02
13,12,NOWC02
13,13,NOWC02
13,14,NOWC02
13,15,NOWC01
13,16,NOWC02
13,17,NOWC02
13,18,NOWC02
13,19,NOWC02
13,20,NOWC02
13,21,NOWC01
13,22,NOWC02
13,23,NOWC02
13,24,NOWC01
13,25,NOWC01
13,26,NOWC01
13,27,NOWC01
13,28,NOWC01
13,29,NOWC01
13,31,NOWC01
14,3,NOWC02
14,4,NOWC02
14,5,NOWC02
14,6,NOWC02
14,7,NOWC02
14,8,NOWC02
14,9,NOWC02
14,10,NOWC02
14,11,NOWC02
14,12,NOWC02
14,13,NOWC02
14,14,NOWC02
14,15,NOWC01
14,16,NOWC01
14,17,NOWC02
14,18,NOWC02
14,19,NOWC01
14,20,NOWC02
14,21,NOWC02
14,22,NOWC02
14,23,NOWC02
14,24,NOWC02
14,25,NOWC01
14,26,NOWC01
14,27,NOWC01
14,28,NOWC01
14,29,NOWC01
14,31,NOWC01
15,4,NOWC02
15,5,NOWC02
15,6,NOWC02
15,7,NOWC02
15,8,NOWC02
15,9,NOWC02
15,10,NOWC02
15,11,NOWC02
15,12,NOWC02
15,13,NOWC02
15,14,NOWC02
15,15,NOWC02
15,16,NOWC01
15,17,NOWC02
15,18,NOWC02
15,19,NOWC02
15,20,NOWC02
15,21,NOWC02
15,22,NOWC02
15,23,NOWC01
15,24,NOWC02
15,25,NOWC01
15,26,NOWC01
15,27,NOWC01
15,28,NOWC01
15,29,NOWC02
15,30,NOWC01
15,31,NOWC01
15,32,NOWC01
16,5,NOWC02
16,6,NOWC02
16,7,NOWC02
16,8,NOWC02
16,9,NOWC02
16,10,NOWC02
16,11,NOWC02
16,12,NOWC02
16,13,NOWC02
16,14,NOWC02
16,15,NOWC02
16,16,NOWC01
16,17,NOWC02
16,18,NOWC02
16,19,NOWC02
16,20,NOWC02
16,21,NOWC01
16,22,NOWC02
16,23,NOWC02
16,24,NOWC01
16,25,NOWC02
16,26,NOWC01
16,27,NOWC01
16,28,NOWC01
16,29,NOWC01
16,30,NOWC02
16,31,NOWC01
16,32,NOWC01
16,33,NOWC01
17,5,NOWC02
17,6,NOWC02
17,7,NOWC02
17,8,NOWC02
