cluster,count,land_area_total,Barren and sparsely vegetated land,Built-up land,Forest land,Grassland & woodland,Irrigated cultivated land,Rain-fed cultivated land,Water bodies,Cassava Irrigation High,Cassava Irrigation Intermediate,Cassava Rain-fed High,Cassava Rain-fed Intermediate,Cassava Rain-fed Low,Coffee Irrigation High,Coffee Irrigation Intermediate,Coffee Rain-fed High,Coffee Rain-fed Intermediate,Coffee Rain-fed Low,Maize Irrigation High,Maize Irrigation Intermediate,Maize Rain-fed High,Maize Rain-fed Intermediate,Maize Rain-fed Low,Other Irrigation High,Other Irrigation Intermediate,Other Rain-fed High,Other Rain-fed Intermediate,Other Rain-fed Low,Rice Irrigation High,Rice Irrigation Intermediate,Rice Rain-fed High,Rice Rain-fed Intermediate,Rice Rain-fed Low,Sugarcane Irrigation High,Sugarcane Irrigation Intermediate,Sugarcane Rain-fed High,Sugarcane Rain-fed Intermediate,Sugarcane Rain-fed Low,Vegetables and fruits Irrigation High,Vegetables and fruits Irrigation Intermediate,Vegetables and fruits Rain-fed High,Vegetables and fruits Rain-fed Intermediate,Vegetables and fruits Rain-fed Low
1,214.0,16.678596655699998,0.0,0.6661831994989268,4.295161524287635,6.926508544737842,0.933064255864854,3.857679151822299,0.0,1.0210509326970467,0.6571612144185003,1.0209700914186854,0.657159345172276,0.30353504686712107,0.0,0.0,0.0,0.0,0.0,0.8414981320639643,0.5597200926219194,0.8414308436563087,0.5597200926219194,0.29047196279062304,0.9490859793817755,0.637720561918811,0.9490710262940311,0.637720561918811,0.2963341118019317,0.854380841121495,0.5501738327685917,0.8229686910861012,0.5301523360136513,0.23528878499414324,1.1179705584160633,0.7354780370944018,1.1179074746426017,0.7354738315689233,0.3389289715579736,0.4901924562072243,0.3402870494787779,0.4901719625865187,0.3402885847480021,0.18939185609247722
2,229.0,17.84765716895,0.0,0.4795662318699807,6.174811378267412,6.934862646938988,0.38812290136024347,3.870294013347184,0.0,0.8540934508544389,0.49367903892650356,0.8540786031031714,0.49367903892650356,0.23820917033732736,0.000627510932855731,0.0003882096063622221,0.000627510932855731,0.0003882096063622221,0.0001489082928828277,0.6435065503724274,0.42717161600246173,0.6434956333002148,0.42717205265203406,0.22331135491616874,0.8066449781711788,0.5420218334447868,0.8066366824520729,0.5420218334447868,0.28967248904132437,0.7981659376985639,0.4675410470587716,0.7640257647984937,0.4478655021784089,0.21747030613203755,1.0888676859926445,0.7163344985012404,1.0888471624216134,0.7163344985012404,0.31573755491248384,0.43198434225262045,0.2960202744136508,0.4319869622987874,0.29602507781922927,0.15998521521176237
3,84.0,6.5467388742,0.0,0.17458601630735643,2.296280772407792,2.4897343050774037,0.09960170562955699,1.4865360761363404,0.0,0.9008857102621167,0.4655130934147605,0.9008857102621167,0.4655130934147605,0.2252964293672925,0.09612142826829638,0.04954285706792558,0.09612142826829638,0.04954285706792558,0.022277380809897468,0.4631071419942945,0.29984523852666223,0.4631071419942945,0.29984523852666223,0.1588880951915469,0.6822023828809526,0.4583940460568382,0.6822023828824356,0.4583940460568382,0.24981785700434725,0.724476189272744,0.3983511896360487,0.6974845199357893,0.38362976199104687,0.19469523827234905,1.0853892871311728,0.7140452367918831,1.0853892871311728,0.7140452367918831,0.3449809528532485,0.2681185384185947,0.17689353740539682,0.26810748374381044,0.17688503401214578,0.08994931957754147
