cluster,Cassava Irrigation High,Cassava Irrigation Intermediate,Cassava Rain-fed High,Cassava Rain-fed Intermediate,Cassava Rain-fed Low,Coffee Irrigation High,Coffee Irrigation Intermediate,Coffee Rain-fed High,Coffee Rain-fed Intermediate,Coffee Rain-fed Low,Maize Irrigation High,Maize Irrigation Intermediate,Maize Rain-fed High,Maize Rain-fed Intermediate,Maize Rain-fed Low,Sugarcane Irrigation High,Sugarcane Irrigation Intermediate,Sugarcane Rain-fed High,Sugarcane Rain-fed Intermediate,Sugarcane Rain-fed Low,Other Irrigation High,Other Irrigation Intermediate,Other Rain-fed High,Other Rain-fed Intermediate,Other Rain-fed Low,Rice Irrigation High,Rice Irrigation Intermediate,Rice Rain-fed High,Rice Rain-fed Intermediate,Rice Rain-fed Low,Vegetables and fruits Irrigation High,Vegetables and fruits Irrigation Intermediate,Vegetables and fruits Rain-fed High,Vegetables and fruits Rain-fed Intermediate,Vegetables and fruits Rain-fed Low
1,0.9648918918918918,0.9273513513513514,0.7855945945945946,0.7755675675675676,0.7541081081081081,0.0,0.0,0.0,0.0,0.0,0.47602702702702704,0.4556756756756757,0.467,0.4502162162162162,0.4178378378378378,1.3535135135135135,1.3006216216216218,0.9601621621621622,0.9758378378378378,0.9864594594594595,0.591918918918919,0.5671351351351351,0.47183783783783784,0.45113513513513515,0.4237567567567568,0.6862702702702703,0.656864864864865,0.5617567567567567,0.5401891891891891,0.49681081081081085,0.5361351351351351,0.5139034749034748,0.41162162162162164,0.40485714285714286,0.3902741312741312
2,0.8961194029850746,0.8614626865671642,0.659223880597015,0.6566417910447762,0.6457611940298508,1.0954626865671642,1.0528507462686567,0.7213283582089552,0.7191044776119403,0.7081940298507462,0.49562686567164177,0.47485074626865675,0.47128358208955223,0.45905970149253733,0.43517910447761193,1.2548656716417912,1.2064477611940299,0.724820895522388,0.7488507462686568,0.7769850746268656,0.5699253731343283,0.5476567164179105,0.5068059701492537,0.48532835820895526,0.45273134328358206,0.6744328358208955,0.6469104477611941,0.4576119402985075,0.45176119402985077,0.43829850746268656,0.6314136460554371,0.6058017057569297,0.4519339019189768,0.44800852878464814,0.43723667377398723
3,0.9107879440258342,0.8729095801937568,0.7495500538213132,0.733389666307858,0.7022626480086115,1.0726942949407965,1.028086114101184,0.8299989235737352,0.8136749192680302,0.7818374596340151,0.47843057050592036,0.4573972012917115,0.4763864370290635,0.4587233584499462,0.4258310010764263,1.2747341227125941,1.2214359526372442,0.9816566200215285,0.9724133476856835,0.9458589881593111,0.5833013993541443,0.5583390742734122,0.5519386437029064,0.5334273412271259,0.5038654467168999,0.6856350914962325,0.6555145317545749,0.5953616792249731,0.5723681377825619,0.529940796555436,0.6103793633707529,0.5841656158695985,0.49793126249423386,0.4844104259572506,0.4598823619867755
